Institution,Site,Stream,PageID,Status,URL,Has content quality issues,Has markup issues,Is archived,Is contact-us,Potential template with,Decomposed by,Verified by,Analysed by,Sent to Service Canada,Notes and comments
National Energy Board,National Energy Board,2,NEB_1,,https://docs.neb-one.gc.ca/ll-eng/llisapi.dll?func=ll&objid=1044032&objaction=browse&viewtype=1,,,,,,,,,,This is a repository 
National Energy Board,National Energy Board,2,NEB_2,,https://www.neb-one.gc.ca/fetch_e.asp?id=a69520,,,,,,,,,,This is a repository 
National Energy Board,National Energy Board,2,NEB_3,,http://www.neb-one.gc.ca/bts/ctrg/mmrndm/2012nrthrnprjctffc-fra.html,,,,,,,,,,
National Energy Board,National Energy Board,2,NEB_4,,http://www.one-neb.gc.ca/sftnvrnmnt/cmplnc/dtrprt/2015nbrdg-ntgrt/nnx-iv-fra.html,,,,,,,,,,
National Energy Board,National Energy Board,2,NEB_5,,https://docs.neb-one.gc.ca/ll-eng/llisapi.dll?func=ll.getlogin&dl=1&nexturl=%2fll%2deng%2fllisapi%2edll%3ffunc%3dll%26objid%3d977381%26objaction%3dbrowse%26viewtype%3d1,,,,,,,,,,
National Energy Board,National Energy Board,2,NEB_6,,http://www.neb-one.gc.ca/bts/nws/nr/2015/nr16-fra.html,,,,,,,,,,
National Energy Board,National Energy Board,2,NEB_7,,https://docs.neb-one.gc.ca/ll-eng/llisapi.dll?func=ll.getlogin&dl=1&nexturl=%2fll%2deng%2fllisapi%2edll%3ffunc%3dll%26objid%3d2679775%26objaction%3dbrowse%26viewtype%3d1,,,,,,,,,,
National Energy Board,National Energy Board,2,NEB_8,,http://www.neb-one.gc.ca/nrg/ntgrtd/mrkt/snpsht/2015/07-04dppnk-eng.html,,,,,,,,,,
National Energy Board,National Energy Board,2,NEB_9,,http://www.one-neb.gc.ca/trnsprnc/cmpltdccssnfrmtnrqst/2015/cmpltdrqst2015-03-fra.html,,,,,,,,,,
National Energy Board,National Energy Board,2,NEB_10,,https://www.neb-one.gc.ca/fetch_e.asp?id=a73595,,,,,,,,,,
National Energy Board,National Energy Board,2,NEB_11,,http://www.neb-one.gc.ca/nrg/ntgrtd/mrkt/archive/2011nrgytrdfct/nrgtrdfct-eng.html,,,,,,,,,,
National Energy Board,National Energy Board,2,NEB_12,,http://www.neb-one.gc.ca/bts/pblctn/dprtmntlprfrmncrprt/archive/2012-2013/gp_ae2012_2013-eng.html,,,,,,,,,,
National Energy Board,National Energy Board,2,NEB_13,,http://www.one-neb.gc.ca/sftnvrnmnt/cmplnc/brdrdr/drfrbtnrgy/2015/cv-vc1516-425-fra.html,,,,,,,,,,
National Energy Board,National Energy Board,2,NEB_14,,http://www.one-neb.gc.ca/bts/pblctn/dprtmntlprfrmncrprt/2013-2014/2013-2014uf-fu-eng.html,,,,,,,,,,
National Energy Board,National Energy Board,2,NEB_15,,http://www.one-neb.gc.ca/trnsprnc/cmpltdccssnfrmtnrqst/2015/cmpltdrqst2015-10-eng.html,,,,,,,,,,
National Energy Board,National Energy Board,2,NEB_16,,http://www.one-neb.gc.ca/sftnvrnmnt/dmgprvntn/frmwrk/frmwrklrg-fra.html,,,,,,,,,,
National Energy Board,National Energy Board,2,NEB_17,,https://www.neb-one.gc.ca/sftnvrnmnt/mrgnc/index-eng.html,,,,,,,,,,
National Energy Board,National Energy Board,2,NEB_18,,http://www.neb-one.gc.ca/bts/nws/spch/archive/2013/hrnssngpssn/index-eng.html,,,,,,,,,,
National Energy Board,National Energy Board,2,NEB_19,,https://www.neb-one.gc.ca/bts/nws/vds/index-fra.html,,,,,,,,,,
National Energy Board,National Energy Board,2,NEB_20,,http://www.one-neb.gc.ca/prtcptn/hrng/hndbk/index-eng.html,,,,,,,,,,
National Energy Board,National Energy Board,2,NEB_21,,http://www.one-neb.gc.ca/prtcptn/index-fra.html,,,,,,,,,,
National Energy Board,National Energy Board,2,NEB_22,,https://www.neb-one.gc.ca/prtcptn/index-fra.html,,,,,,,,,,
National Energy Board,National Energy Board,2,NEB_23,,http://www.one-neb.gc.ca/bts/nws/vds/index-eng.html,,,,,,,,,,
National Energy Board,National Energy Board,2,NEB_24,,http://www.one-neb.gc.ca/prtcptn/hrng/hndbk/index-fra.html,,,,,,,,,,
National Energy Board,National Energy Board,2,NEB_25,,http://www.one-neb.gc.ca/glbl/mprtntntc-fra.html,,,,,,,,,,
National Energy Board,National Energy Board,2,NEB_26,,https://www.neb-one.gc.ca/glbl/mprtntntc-fra.html,,,,,,,,,,
National Energy Board,National Energy Board,2,NEB_27,,http://www.neb-one.gc.ca/cntcts/cntctpblctns-fra.html,,,,,,,,,,
National Energy Board,National Energy Board,2,NEB_28,,http://www.one-neb.gc.ca/cntcts/index-fra.html,,,,,,,,,,
National Energy Board,National Energy Board,2,NEB_29,,http://www.one-neb.gc.ca/bts/pblctn/plnprrt/2015-2016/fsds-smdd2015-2016-fra.html,,,,,,,,,,
National Energy Board,National Energy Board,2,NEB_30,,https://www.neb-one.gc.ca/nrg/ntgrtd/ftr/2013/fctshtntrlgs-eng.html,,,,,,,,,,
National Energy Board,National Energy Board,2,NEB_31,,http://www.neb-one.gc.ca/sftnvrnmnt/cmplnc/brdrdr/nbrdgnw/2011/so-e102-002-ao-002-eng.html,,,,,,,,,,
National Energy Board,National Energy Board,2,NEB_32,,http://www.one-neb.gc.ca/bts/whwr/gvrnnc/cdcndctfnbmply/cdcndctfnbmply-eng.html,,,,,,,,,,
National Energy Board,National Energy Board,2,NEB_33,,http://www.one-neb.gc.ca/pplctnflng/mjrpp/archive/bkkn/bkkn-fra.html,,,,,,,,,,
National Energy Board,National Energy Board,2,NEB_34,,http://www.one-neb.gc.ca/nrg/ntgrtd/mrkt/snpsht/2015/02-03lng-fra.html,,,,,,,,,,
National Energy Board,National Energy Board,2,NEB_35,,http://www.one-neb.gc.ca/bts/pblctn/ccssnfrmtnprvcct/2013-2014/2013-2014prvcct-eng.html,,,,,,,,,,
National Energy Board,National Energy Board,2,NEB_36,,http://www.neb-one.gc.ca/sftnvrnmnt/cmplnc/brdrdr/wstcstspctr/2015/scb-001-2015-eng.html,,,,,,,,,,
National Energy Board,National Energy Board,2,NEB_37,,http://www.one-neb.gc.ca/sftnvrnmnt/cmplnc/brdrdr/mntrlppln/2012/jjd-1-02-eng.html,,,,,,,,,,
National Energy Board,National Energy Board,2,NEB_38,,http://www.neb-one.gc.ca/bts/ctrg/gnnb/rlsfprctcndprcdr/index-eng.html,,,,,,,,,,
National Energy Board,National Energy Board,2,NEB_39,,http://www.one-neb.gc.ca/trnsprnc/cmpltdccssnfrmtnrqst/2015/cmpltdrqst2015-06-fra.html,,,,,,,,,,
National Energy Board,National Energy Board,2,NEB_40,,http://www.one-neb.gc.ca/cntcts/cntctwbmstr-eng.html,,,,,,,,,,
National Energy Board,National Energy Board,2,NEB_41,,https://www.neb-one.gc.ca/prtcptn/hrng/hndbk/index-fra.html,,,,,,,,,,
National Energy Board,National Energy Board,2,NEB_42,,http://www.neb-one.gc.ca/prtcptn/hrng/hndbk/index-fra.html,,,,,,,,,,
National Energy Board,National Energy Board,2,NEB_43,,http://www.neb-one.gc.ca/nrg/sttstc/lctrct/stt/lctrctysmmr/2014/smmry2014-fra.html,,,,,,,,,,
National Energy Board,National Energy Board,2,NEB_44,,http://www.one-neb.gc.ca/bts/cstrcvr/2010-04-28cstrcvrq-eng.html,,,,,,,,,,